name,surname,fullname,sex,birth date,id,id_type
NA,Dia,NA Dia,female,1967-12-31,VY63643PJ,Italian electronic identity card
Urve,Ringmets,Urve Ringmets,female,1966-03-12,IB7338588,Italian passport
An,Vanderspikken,An Vanderspikken,female,2009-06-14,KK46765VO,Italian electronic identity card
Thiago,Padilha,Thiago Padilha,male,2009-02-21,AA39313NQ,Italian electronic identity card
Gianni,Basile,Gianni Basile,male,1992-03-19,NY5986498K,Italian driving license card
Sergio,Oriente,Sergio Oriente,male,1992-07-17,GU30633LW,Italian electronic identity card
Pietro,Papaleo,Pietro Papaleo,male,1974-04-08,UB19561ZB,Italian electronic identity card
Andreaselene,Simonini,Andreaselene Simonini,female,1991-12-20,QE8457786Q,Italian driving license card
Enrico,Filippi,Enrico Filippi,male,2017-01-23,FX9015296,Italian passport
Giovanni,Salice,Giovanni Salice,male,2015-10-31,VV98858CK,Italian electronic identity card
Gino,Giuliana,Gino Giuliana,male,2019-11-04,KX7795073,Italian passport
Carmen,D'Angelo,Carmen D'Angelo,female,1950-03-08,FS96150LC,Italian electronic identity card
Gaetano,Sannino,Gaetano Sannino,male,1945-01-24,VT9090468,Italian passport
Terso,Pamaybay,Terso Pamaybay,male,1968-05-02,OT22256LS,Italian electronic identity card
Donatella,Tognon,Donatella Tognon,female,1945-08-21,ZH47252GA,Italian electronic identity card
Mattia,Angeli,Mattia Angeli,male,1952-08-05,FR8538127,Italian passport
Balla,Syll,Balla Syll,male,1967-11-24,UP5228285I,Italian driving license card
Carmine,Raiola,Carmine Raiola,male,1975-11-05,OV64197PD,Italian electronic identity card
Rita,Guarracino,Rita Guarracino,female,1996-06-24,ZU7693015O,Italian driving license card
La,Giuseppe,La Giuseppe,male,1992-09-30,NT4283511L,Italian driving license card
Roberta,Fogacci,Roberta Fogacci,female,2016-01-13,VY1603819P,Italian driving license card
Ilaria,Foralossi,Ilaria Foralossi,female,1968-05-06,YX53087PI,Italian electronic identity card
Giovanni,Amodio,Giovanni Amodio,male,2017-07-01,QX85162CJ,Italian electronic identity card
Agnese,Di Santo,Agnese Di Santo,female,2014-07-29,RQ33099RD,Italian electronic identity card
